settlement,district,county ,population,households,land km^2,density km^2,classification
Culnady ,Mid Ulster ,County Londonderry ,162,63,0.09,1710.25,Small village or hamlet 
Corkey ,Mid and East Antrim ,County Antrim ,162,56,0.06,2904.13,Small village or hamlet 
Mountnorris ,"Armagh, Banbridge and Craigavon ",County Armagh ,161,80,0.13,1286.91,Small village or hamlet 
Orritor ,Mid Ulster ,County Tyrone ,161,60,0.23,692.54,Small village or hamlet 
Teemore ,Fermanagh and Omagh ,County Fermanagh ,161,59,0.25,654.22,Small village or hamlet 
Millbank ,Antrim and Newtownabbey ,County Antrim ,161,56,0.1,1685.86,Small village or hamlet 
Dunnamore ,Mid Ulster ,County Tyrone ,158,41,0.18,878.83,Small village or hamlet 
Milltown ,Antrim and Newtownabbey ,County Antrim ,157,56,0.09,1713.44,Small village or hamlet 
Barnmeen ,"Newry, Mourne and Down ",County Down ,156,61,0.09,1749.31,Small village or hamlet 
Milltown (Aghory) ,"Armagh, Banbridge and Craigavon ",County Armagh ,155,69,0.06,2756.7,Small village or hamlet 
Hillhead ,Antrim and Newtownabbey ,County Antrim ,153,63,0.12,1240.74,Small village or hamlet 
Clarehill ,Causeway Coast and Glens ,County Londonderry ,153,62,0.08,2024.57,Small village or hamlet 
Groggan ,Antrim and Newtownabbey ,County Antrim ,152,54,0.08,2000.62,Small village or hamlet 
Largy ,Causeway Coast and Glens ,County Londonderry ,151,55,0.05,2815.92,Small village or hamlet 
Tullynacross ,Lisburn and Castlereagh ,County Antrim ,149,79,0.05,3304.93,Small village or hamlet 
Donagheady ,Derry and Strabane ,County Tyrone ,147,53,0.1,1506.92,Small village or hamlet 
Cladymore ,"Armagh, Banbridge and Craigavon ",County Armagh ,145,56,0.06,2579.78,Small village or hamlet 
Katesbridge ,"Armagh, Banbridge and Craigavon ",County Down ,144,53,0.07,1967.53,Small village or hamlet 
Kinawley ,Fermanagh and Omagh ,County Fermanagh ,142,66,0.23,611.28,Small village or hamlet 
Ardress ,"Armagh, Banbridge and Craigavon ",County Armagh ,142,51,0.12,1151.33,Small village or hamlet 
Gamblestown ,"Armagh, Banbridge and Craigavon ",County Down ,141,54,0.11,1306.07,Small village or hamlet 
Douglas Bridge ,Derry and Strabane ,County Tyrone ,141,52,0.15,938.39,Small village or hamlet 
Ballintoy ,Causeway Coast and Glens ,County Antrim ,140,57,0.09,1598.33,Small village or hamlet 
St. James ,Lisburn and Castlereagh ,County Down ,138,52,0.06,2490.82,Small village or hamlet 
Ballyvoy ,Causeway Coast and Glens ,County Antrim ,136,61,0.08,1725.56,Small village or hamlet 
Loughgilly ,"Armagh, Banbridge and Craigavon ",County Armagh ,136,58,0.05,2727.12,Small village or hamlet 
Arney / Skea ,Fermanagh and Omagh ,County Fermanagh ,134,53,0.27,494.66,Small village or hamlet 
Tattyreagh ,Fermanagh and Omagh ,County Tyrone ,134,39,0.25,541.58,Small village or hamlet 
Drummullan ,Mid Ulster ,County Londonderry ,133,58,0.17,805.74,Small village or hamlet 
Ballylifford ,Mid Ulster ,County Londonderry ,133,52,0.21,628.06,Small village or hamlet 
Charlemont ,"Armagh, Banbridge and Craigavon ",County Armagh ,131,54,0.16,828.69,Small village or hamlet 
Mounthill ,Mid and East Antrim ,County Antrim ,128,55,0.09,1462.62,Small village or hamlet 
Tynan ,"Armagh, Banbridge and Craigavon ",County Armagh ,127,53,0.1,1259.36,Small village or hamlet 
Ryan Park ,Lisburn and Castlereagh ,County Down ,124,61,0.02,6344.25,Small village or hamlet 
Derrykeighan ,Mid and East Antrim ,County Antrim ,123,47,0.05,2394.99,Small village or hamlet 
